category,district,constituency,candidate_name,party,votes,total_votes,share_votes,unopposed
Directly Elected MP,YUMBE,ARINGA NORTH COUNTY,ONZIMA GODFREY,NRM,12597,17587,0.716267705,0
Directly Elected MP,YUMBE,ARINGA NORTH COUNTY,ACHILE MANOAH MILA,INDEPENDENT,4990,17587,0.283732295,0
Directly Elected MP,YUMBE,ARINGA SOUTH COUNTY,ALIONI YORKE ODRIA,NRM,13870,22190,0.625056326,0
Directly Elected MP,YUMBE,ARINGA SOUTH COUNTY,MUSEMA MUDATHIR BRUCE,FDC,7451,22190,0.335781872,0
Directly Elected MP,YUMBE,ARINGA SOUTH COUNTY,ANGULIBO SIRAJI,NUP,869,22190,0.039161786,0
Directly Elected MP,ZOMBO,OKORO COUNTY,OKUMU GABRIEL,NRM,25810,32398,0.796654105,0
Directly Elected MP,ZOMBO,OKORO COUNTY,KERMUNDU MARTIN NEN- ONGO,INDEPENDENT,3905,32398,0.120532133,0
Directly Elected MP,ZOMBO,OKORO COUNTY,KUMIRA NICHOLAS ANGALA,INDEPENDENT,1965,32398,0.060651891,0
Directly Elected MP,ZOMBO,OKORO COUNTY,OFOYORWOTH GABRIEL,ANT,718,32398,0.022161862,0
Directly Elected MP,ZOMBO,ORA COUNTY,BIYIKA LAWRENCE SONGA,NRM,19684,28740,0.684899092,0
Directly Elected MP,ZOMBO,ORA COUNTY,SUMBA RONALD RUPINY,INDEPENDENT,7320,28740,0.254697293,0
Directly Elected MP,ZOMBO,ORA COUNTY,JAWOTHU OKURA FRED,FDC,1275,28740,0.044363257,0
Directly Elected MP,ZOMBO,ORA COUNTY,OCAKOWUN FELIX,INDEPENDENT,461,28740,0.016040362,0
District Woman Representative,ABIM,ABIM,OKORI MOE JANET GRACE AKECH,NRM,7705,24020,0.320774347,0
District Woman Representative,ABIM,ABIM,AUMA JULIANA MODEST,INDEPENDENT,7608,24020,0.316736042,0
District Woman Representative,ABIM,ABIM,NAMUNU PASKA OTTO,INDEPENDENT,6920,24020,0.288093269,0
District Woman Representative,ABIM,ABIM,APIO SANTINA GRACE ABIA,INDEPENDENT,1787,24020,0.074396335,0
District Woman Representative,ADJUMANI,ADJUMANI,ABABIKU JESCA,NRM,32488,47806,0.679579973,0
District Woman Representative,ADJUMANI,ADJUMANI,ERIYO JESCA,INDEPENDENT,12341,47806,0.258147508,0
District Woman Representative,ADJUMANI,ADJUMANI,MASUDIO JOSEPHINE,INDEPENDENT,1432,47806,0.0299544,0
District Woman Representative,ADJUMANI,ADJUMANI,KOLIBA MONICA KOTEVU,INDEPENDENT,852,47806,0.017822031,0
District Woman Representative,ADJUMANI,ADJUMANI,VUSIYA BANGI LINA PYERA,INDEPENDENT,693,47806,0.014496088,0
District Woman Representative,AGAGO,AGAGO,AKELLO BEATRICE AKORI,NRM,31621,65371,0.483716011,0
District Woman Representative,AGAGO,AGAGO,AKELLO JUDITH FRANCA,FDC,26840,65371,0.410579622,0
District Woman Representative,AGAGO,AGAGO,ABALO LILLIAN ONGOM,INDEPENDENT,3819,65371,0.058420401,0
District Woman Representative,AGAGO,AGAGO,ABER LILLY GORRETTI,INDEPENDENT,1911,65371,0.029233146,0
District Woman Representative,AGAGO,AGAGO,OKIDI WINNIE,INDEPENDENT,1180,65371,0.018050818,0
District Woman Representative,ALEBTONG,ALEBTONG,ACEN DORCUS,NRM,29184,67093,0.434978306,0
District Woman Representative,ALEBTONG,ALEBTONG,ACHEN CHRISTINE AYO,INDEPENDENT,17269,67093,0.257389009,0
District Woman Representative,ALEBTONG,ALEBTONG,ABONGO O. ELIZABETH,FDC,11672,67093,0.173967481,0
District Woman Representative,ALEBTONG,ALEBTONG,ATIM JUDITH JOY,UPC,6346,67093,0.094585128,0
District Woman Representative,ALEBTONG,ALEBTONG,ALUM CATHERINE JOGOLE,INDEPENDENT,1582,67093,0.02357921,0
District Woman Representative,ALEBTONG,ALEBTONG,AKULLU EMILY OMACARA,INDEPENDENT,1040,67093,0.015500871,0
District Woman Representative,AMOLATAR,AMOLATAR,ATIM AGNES APEA,NRM,23926,52434,0.456306964,0
District Woman Representative,AMOLATAR,AMOLATAR,AMULE DOREEN RUTH,INDEPENDENT,20174,52434,0.384750366,0
District Woman Representative,AMOLATAR,AMOLATAR,ANGWECH COLLINE,INDEPENDENT,7308,52434,0.13937521,0
District Woman Representative,AMOLATAR,AMOLATAR,AMALI CAROLINE OKAO,INDEPENDENT,556,52434,0.010603807,0
District Woman Representative,AMOLATAR,AMOLATAR,AKELLO LOYCE,UPC,470,52434,0.008963649,0
District Woman Representative,AMUDAT,AMUDAT,CHELAIN BETTY LOUKE,NRM,15685,30820,0.508922756,0
District Woman Representative,AMUDAT,AMUDAT,CHEUTICH RUFINA,INDEPENDENT,11154,30820,0.36190784,0
District Woman Representative,AMUDAT,AMUDAT,NAUWAT ROSEMARY,INDEPENDENT,3981,30820,0.129169375,0
District Woman Representative,AMURIA,AMURIA,AMERO SUSAN,INDEPENDENT,20284,57692,0.3515912,0
District Woman Representative,AMURIA,AMURIA,ACEN RHODA,NRM,18341,57692,0.31791237,0
District Woman Representative,AMURIA,AMURIA,ALEO DEBORAH MARY,FDC,11469,57692,0.198797062,0
District Woman Representative,AMURIA,AMURIA,ALIAMO EUNICE,INDEPENDENT,6645,57692,0.115180612,0
District Woman Representative,AMURIA,AMURIA,ALASO ESEZA,INDEPENDENT,953,57692,0.016518755,0
District Woman Representative,AMURU,AMURU,AKELLO LUCY,FDC,21183,36536,0.579784334,0
District Woman Representative,AMURU,AMURU,ANGEYO LUCY KIJANGE,NRM,15353,36536,0.420215666,0
District Woman Representative,APAC,APAC,AWOR BETTY ENGOLA,NRM,28002,53948,0.519055367,0
District Woman Representative,APAC,APAC,ACHOLA SUSAN ENGOLA,UPC,24761,53948,0.458979011,0
District Woman Representative,APAC,APAC,ADIE REBECCA MORO,INDEPENDENT,1185,53948,0.021965597,0
District Woman Representative,ARUA,ARUA,PAPARU LILLIAN OBIALE,NRM,,,,1
District Woman Representative,ARUA CITY,ARUA CITY,OSORU MOURINE,NRM,39752,74484,0.533698499,0
District Woman Representative,ARUA CITY,ARUA CITY,BAKO CHRISTINE ABIA,ANT,14044,74484,0.188550562,0
District Woman Representative,ARUA CITY,ARUA CITY,SHEILLAH PRINCESS OBIA,NUP,11832,74484,0.158852905,0
District Woman Representative,ARUA CITY,ARUA CITY,IZUMA FABIOLLAH ANNETTE,INDEPENDENT,6380,74484,0.08565598,0
District Woman Representative,ARUA CITY,ARUA CITY,ACHAN HELLEN,FDC,2476,74484,0.033242039,0
District Woman Representative,BUDAKA,BUDAKA,KAMUGO PAMELA NASIYO,NRM,24042,64215,0.3743985,0
District Woman Representative,BUDAKA,BUDAKA,BABULA NOEL KATAIKE MATILDA,INDEPENDENT,14931,64215,0.232515767,0
District Woman Representative,BUDAKA,BUDAKA,BALUKA HILDA LILLY,INDEPENDENT,8864,64215,0.138036281,0
District Woman Representative,BUDAKA,BUDAKA,KATAIKE SARAH NDOBOLI,INDEPENDENT,6275,64215,0.097718604,0
District Woman Representative,BUDAKA,BUDAKA,MUGOYA ANNAH,INDEPENDENT,3841,64215,0.059814684,0
District Woman Representative,BUDAKA,BUDAKA,NANKOMA BARBRA,NUP,2837,64215,0.044179708,0
District Woman Representative,BUDAKA,BUDAKA,NABUKWASI DINAH RACHEAL KAMIZA,FDC,2464,64215,0.038371097,0
District Woman Representative,BUDAKA,BUDAKA,KAHWA MARGARET MBULAITEYE SAIMO,INDEPENDENT,438,64215,0.006820836,0
District Woman Representative,BUDAKA,BUDAKA,NAKIRYA KUNGU PAMELA,INDEPENDENT,270,64215,0.004204625,0
District Woman Representative,BUDAKA,BUDAKA,SHOPI BRENDA IZABEL,INDEPENDENT,253,64215,0.003939889,0
District Woman Representative,BUDUDA,BUDUDA,NANDUTU AGNESS,INDEPENDENT,27516,45324,0.607095599,0
District Woman Representative,BUDUDA,BUDUDA,KHAINZA JUSTINE,NRM,17808,45324,0.392904431,0
District Woman Representative,BUGIRI,BUGIRI,TAAKA AGNES,NRM,40638,101719,0.39951238,0
District Woman Representative,BUGIRI,BUGIRI,NAMATENDE EUNICE,FDC,25989,101719,0.255497992,0
District Woman Representative,BUGIRI,BUGIRI,BABI HADIJAH,INDEPENDENT,16769,101719,0.164856121,0
District Woman Representative,BUGIRI,BUGIRI,NAMUMBYA REBECCA,NUP,15353,101719,0.150935426,0
District Woman Representative,BUGIRI,BUGIRI,NAIRUBA FAIBE,INDEPENDENT,1747,101719,0.017174765,0
District Woman Representative,BUGIRI,BUGIRI,NAIGAGA MARY,DP,1223,101719,0.012023319,0
District Woman Representative,BUGWERI,BUGWERI,MAGOOLA RACHEL MIRIEL,NRM,15739,45995,0.342189372,0
District Woman Representative,BUGWERI,BUGWERI,WALUKAMBA MERCY,NUP,14198,45995,0.30868572,0
District Woman Representative,BUGWERI,BUGWERI,AMINAH MUTESI NALUGODA,ANT,13084,45995,0.2844657,0
District Woman Representative,BUGWERI,BUGWERI,BABIRYE CAROLINE,INDEPENDENT,1612,45995,0.035047289,0
District Woman Representative,BUGWERI,BUGWERI,ABBY NORAH KATO KALULE SEWALI,FDC,681,45995,0.014805957,0
District Woman Representative,BUGWERI,BUGWERI,BABIRYE SARAH,JEEMA,681,45995,0.014805957,0
District Woman Representative,BUHWEJU,BUHWEJU,KATWESIGYE OLIVER KOYEKYENGA,NRM,26199,48021,0.545573831,0
District Woman Representative,BUHWEJU,BUHWEJU,NNAMARA ANNET OYES BYAMUKAMA,INDEPENDENT,17418,48021,0.362716317,0
District Woman Representative,BUHWEJU,BUHWEJU,AKANKWASA PHIONA,INDEPENDENT,2845,48021,0.059244912,0
District Woman Representative,BUHWEJU,BUHWEJU,BISHANGA ALICE,FDC,1077,48021,0.022427687,0
District Woman Representative,BUHWEJU,BUHWEJU,TUKAMUHEEBWA MIRIA,INDEPENDENT,482,48021,0.010037275,0
District Woman Representative,BUIKWE,BUIKWE,MUTASINGWA DIANA NANKUNDA KAGYENYI,NRM,43215,126953,0.34040156,0
District Woman Representative,BUIKWE,BUIKWE,NANTEZA RESTY,FDC,41561,126953,0.327373117,0
District Woman Representative,BUIKWE,BUIKWE,NABATANZI FARIDAH,NUP,30275,126953,0.238474086,0
District Woman Representative,BUIKWE,BUIKWE,MUKASA IMMACULATE KABAALE,INDEPENDENT,3613,126953,0.028459352,0
District Woman Representative,BUIKWE,BUIKWE,NAKIBUUKA RASHIDA,DP,2590,126953,0.020401251,0
District Woman Representative,BUIKWE,BUIKWE,NANKABIRWA HARRIET,INDEPENDENT,2237,126953,0.017620694,0
District Woman Representative,BUIKWE,BUIKWE,BANDURU DIANAH,INDEPENDENT,2054,126953,0.016179215,0
District Woman Representative,BUIKWE,BUIKWE,NAKIGULI LYDIA,INDEPENDENT,1408,126953,0.011090718,0
District Woman Representative,BUKEDEA,BUKEDEA,AMONG ANITA ANNET,NRM,,,,1
District Woman Representative,BUKOMANSIMBI,BUKOMANSIMBI,NANYONDO VERONICA NAMAGANDA,NUP,28459,47025,0.605188727,0
District Woman Representative,BUKOMANSIMBI,BUKOMANSIMBI,NAKIWALA FLORENCE KIYINGI,NRM,16035,47025,0.340988845,0
District Woman Representative,BUKOMANSIMBI,BUKOMANSIMBI,NAKAWUNGU HALIMAH,INDEPENDENT,1562,47025,0.033216376,0
District Woman Representative,BUKOMANSIMBI,BUKOMANSIMBI,NAMUYANJA PAMELA,DP,969,47025,0.020606061,0
District Woman Representative,BUKWO,BUKWO,CHEMUTAI EVERLYN,INDEPENDENT,16603,32603,0.509247601,0
District Woman Representative,BUKWO,BUKWO,TETE CHELANGAT EVERLINE,NRM,15585,32603,0.478023499,0
District Woman Representative,BUKWO,BUKWO,CHEBENI PAULA,INDEPENDENT,415,32603,0.01272889,0
District Woman Representative,BULAMBULI,BULAMBULI,NAFUNA-MULONI IRENE MARGARET,NRM,28875,50673,0.56983006,0
District Woman Representative,BULAMBULI,BULAMBULI,WEKOMBA SARAH NAMBOZO,INDEPENDENT,19656,50673,0.387898892,0
District Woman Representative,BULAMBULI,BULAMBULI,NAMBOZO PATIENCE,INDEPENDENT,1133,50673,0.022359047,0
District Woman Representative,BULAMBULI,BULAMBULI,MUDUWA SCOVIA,NUP,1009,50673,0.019911984,0
District Woman Representative,BULIISA,BULIISA,BIGIRWA NORAH NYENDWOHA,NRM,23474,27353,0.858187377,0
District Woman Representative,BULIISA,BULIISA,KINOBE CHARLOTTE,INDEPENDENT,3879,27353,0.141812593,0
District Woman Representative,BUNDIBUGYO,BUNDIBUGYO,BEBONA BABUNGI JOSEPHINE,NRM,36594,71821,0.509516716,0
District Woman Representative,BUNDIBUGYO,BUNDIBUGYO,NTABAZI HARRIET,INDEPENDENT,35222,71821,0.490413666,0
District Woman Representative,BUNDIBUGYO,BUNDIBUGYO,MUSUMBA HARRIET,NUP,5,71821,6.96175E-05,0
District Woman Representative,BUNYANGABU,BUNYANGABU,MUTUUZO PEACE REGIS,NRM,34057,57346,0.593886256,0
District Woman Representative,BUNYANGABU,BUNYANGABU,KABAROKOLE SARAH,INDEPENDENT,23289,57346,0.406113774,0
District Woman Representative,BUSHENYI,BUSHENYI,KATUSIIME ANNET MUGISHA,NRM,73055,85828,0.851179123,0
District Woman Representative,BUSHENYI,BUSHENYI,ATUHIRE MADINAH,INDEPENDENT,10658,85828,0.124178588,0
District Woman Representative,BUSHENYI,BUSHENYI,NSHEMEREIRWE FEDERICA,FDC,1629,85828,0.018979819,0
District Woman Representative,BUSHENYI,BUSHENYI,KYAMANYWA FAITH,ANT,486,85828,0.005662488,0
District Woman Representative,BUSIA,BUSIA,AUMA HELLEN WANDERA,NRM,33701,97547,0.345484734,0
District Woman Representative,BUSIA,BUSIA,NABULINDO JANE KWOBA,INDEPENDENT,27148,97547,0.278306872,0
District Woman Representative,BUSIA,BUSIA,AKELLO PHANICE MARY,NUP,14605,97547,0.149722695,0
District Woman Representative,BUSIA,BUSIA,NAKKU FIONA,INDEPENDENT,8184,97547,0.083898015,0
District Woman Representative,BUSIA,BUSIA,NABWIRE SHARON VERON,INDEPENDENT,6345,97547,0.065045565,0
District Woman Representative,BUSIA,BUSIA,TABU SARAH,FDC,3650,97547,0.037417859,0
District Woman Representative,BUSIA,BUSIA,BUSINGYE ESTHER WAFULA,INDEPENDENT,1549,97547,0.015879525,0
District Woman Representative,BUSIA,BUSIA,AUMA SCOVIA JULIET,INDEPENDENT,1508,97547,0.015459214,0
District Woman Representative,BUSIA,BUSIA,MUGENI CHARITY,INDEPENDENT,857,97547,0.008785509,0
District Woman Representative,BUTALEJA,BUTALEJA,NEBANDA ANDIRU FLORENCE,NRM,33105,70123,0.472099036,0
District Woman Representative,BUTALEJA,BUTALEJA,HAMBA MULOKI AGATHA,INDEPENDENT,29586,70123,0.42191577,0
District Woman Representative,BUTALEJA,BUTALEJA,NAWATENE CHRISTINE SANNYU,INDEPENDENT,3496,70123,0.049855255,0
District Woman Representative,BUTALEJA,BUTALEJA,NAMUGAWE ZAMU WADINDI,INDEPENDENT,2014,70123,0.028720962,0
District Woman Representative,BUTALEJA,BUTALEJA,WERE ALLEN WEGULO,NUP,1922,70123,0.027408982,0
District Woman Representative,BUTAMBALA,BUTAMBALA,NALULE ASHA AISHA KABANDA,NUP,22335,37231,0.599903286,0
District Woman Representative,BUTAMBALA,BUTAMBALA,MIREMBE LYDIA DAPHINE,NRM,14623,37231,0.392764091,0
District Woman Representative,BUTAMBALA,BUTAMBALA,NABWAMI REHEMA SSENGENDO,FDC,187,37231,0.005022696,0
District Woman Representative,BUTAMBALA,BUTAMBALA,NALUNGA SIRAJE RASHIDA,INDEPENDENT,86,37231,0.002309903,0
District Woman Representative,BUTEBO,BUTEBO,AMEEDE AGNES,INDEPENDENT,14475,35415,0.408725113,0
District Woman Representative,BUTEBO,BUTEBO,AISU ELIZABETH,NRM,12175,35415,0.343780875,0
District Woman Representative,BUTEBO,BUTEBO,LOGOSE MONICA,INDEPENDENT,8341,35415,0.235521674,0
District Woman Representative,BUTEBO,BUTEBO,BASIIMA SCOVIA,FDC,424,35415,0.011972328,0
District Woman Representative,BUVUMA,BUVUMA,MUGABI SUSAN,NUP,8154,21605,0.377412647,0
District Woman Representative,BUVUMA,BUVUMA,NAGUJJA JUDITH,NRM,6780,21605,0.313816249,0
District Woman Representative,BUVUMA,BUVUMA,NANTUME JANEPHER EGUNYU,INDEPENDENT,6671,21605,0.308771104,0
District Woman Representative,BUYENDE,BUYENDE,NAKATO MARY ANNET,INDEPENDENT,38650,82713,0.467278421,0
District Woman Representative,BUYENDE,BUYENDE,BABIRYE VERONICA KADOGO,NRM,28347,82713,0.342715174,0
District Woman Representative,BUYENDE,BUYENDE,NAMULONDO SARAH,INDEPENDENT,9143,82713,0.110538848,0
District Woman Representative,BUYENDE,BUYENDE,MUKYALA RUTH,INDEPENDENT,3568,82713,0.043137114,0
District Woman Representative,BUYENDE,BUYENDE,BIIBI SHARIFAH,NUP,3005,82713,0.036330443,0
District Woman Representative,DOKOLO,DOKOLO,ATIM OGWAL CECILIA BARBARA,FDC,32223,59563,0.540990233,0
District Woman Representative,DOKOLO,DOKOLO,ADONGO ELAU JANET ROSE OKELLO,NRM,16880,59563,0.283397406,0
District Woman Representative,DOKOLO,DOKOLO,AGUTI SARAH,UPC,10460,59563,0.175612375,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,LINDA IRENE,NRM,22563,36528,0.617690563,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,RWABWOGO SYLIVIA,INDEPENDENT,7373,36528,0.201845154,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,MUKIDI JUDITH,INDEPENDENT,3174,36528,0.086892247,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,KIHUNDE SYLIVIA,NUP,1110,36528,0.030387647,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,FOBBE'S MASTULA SAIDI,INDEPENDENT,1036,36528,0.028361805,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,KARUNGI JOSELYNE,INDEPENDENT,891,36528,0.024392247,0
District Woman Representative,FORT PORTAL CITY,FORT PORTAL CITY,KANSIIME MARJORIE ANNET,ANT,381,36528,0.010430355,0
District Woman Representative,GOMBA,GOMBA,NAYEBALE SYLVIA,NRM,30253,54626,0.55382055,0
District Woman Representative,GOMBA,GOMBA,SENTAMU BETTY,NUP,22657,54626,0.414765865,0
District Woman Representative,GOMBA,GOMBA,NAKATO KYABANGI,INDEPENDENT,1716,54626,0.031413611,0
District Woman Representative,GULU,GULU,LAKER SHARON BALMOYI,NRM,6145,20400,0.301225483,0
District Woman Representative,GULU,GULU,OKELLO GORETTI ODOKI,DP,4331,20400,0.212303922,0
District Woman Representative,GULU,GULU,ATIM BETTY,INDEPENDENT,3492,20400,0.171176463,0
District Woman Representative,GULU,GULU,AMONO ROSE ALICE ABILI,FDC,2421,20400,0.118676469,0
District Woman Representative,GULU,GULU,PILOYA EVELYN GLORIA,INDEPENDENT,1751,20400,0.085833333,0
District Woman Representative,GULU,GULU,LAPOTI LUCY,INDEPENDENT,904,20400,0.044313725,0
District Woman Representative,GULU,GULU,LALAM IRENE,NUP,708,20400,0.034705881,0
District Woman Representative,GULU,GULU,APIO ROSEMARY MPANDE,INDEPENDENT,648,20400,0.031764705,0
District Woman Representative,GULU CITY,GULU CITY,AOL BETTY OCAN,FDC,14706,33602,0.437652528,0
District Woman Representative,GULU CITY,GULU CITY,LAKER JOLLY GRACE ANDRUVILE OKOT,DP,10458,33602,0.311231464,0
District Woman Representative,GULU CITY,GULU CITY,ATIM ROSEMARY,INDEPENDENT,3390,33602,0.100886852,0
District Woman Representative,GULU CITY,GULU CITY,LAPOLO MARIEA SHAKA,NRM,3156,33602,0.09392298,0
District Woman Representative,GULU CITY,GULU CITY,AUMA VENTO OGORA,INDEPENDENT,1132,33602,0.033688471,0
District Woman Representative,GULU CITY,GULU CITY,ATIMANGO CHRISTINE ODONGO,INDEPENDENT,660,33602,0.019641688,0
District Woman Representative,GULU CITY,GULU CITY,LANYERO GERTRUDE,ANT,100,33602,0.002976013,0
District Woman Representative,HOIMA,HOIMA,BUSINGE HARRIET,NRM,28426,53887,0.527511299,0
District Woman Representative,HOIMA,HOIMA,WEMBABAZI BEATRICE,INDEPENDENT,18271,53887,0.339061379,0
District Woman Representative,HOIMA,HOIMA,NYAMUHAIBONA MARY,NUP,5659,53887,0.105016053,0
District Woman Representative,HOIMA,HOIMA,MULINDWA VENAH,ANT,1022,53887,0.018965613,0
District Woman Representative,HOIMA,HOIMA,NABISEERE REHEMAH,FDC,509,53887,0.009445691,0
District Woman Representative,HOIMA CITY,HOIMA CITY,NYAKATO ASINANSI,FDC,18137,35460,0.511477709,0
District Woman Representative,HOIMA CITY,HOIMA CITY,KABASINDI VIOLET KIBERU,NRM,11256,35460,0.317428082,0
District Woman Representative,HOIMA CITY,HOIMA CITY,PLAN NABISUBI BERNADETTE,INDEPENDENT,4821,35460,0.135956004,0
District Woman Representative,HOIMA CITY,HOIMA CITY,KIIZA BRIDGET,NUP,1246,35460,0.035138182,0
District Woman Representative,IBANDA,IBANDA,BAINOMUGISHA JANE KABAJUNGU,NRM,44638,88558,0.504053831,0
District Woman Representative,IBANDA,IBANDA,KALIISA JOVRINE KYOMUKAMA,INDEPENDENT,42803,88558,0.483332962,0
District Woman Representative,IBANDA,IBANDA,KICONCO EVALYNE,NUP,611,88558,0.006899433,0
District Woman Representative,IBANDA,IBANDA,NASASIRA ABIA,ANT,400,88558,0.004516814,0
District Woman Representative,IBANDA,IBANDA,NAMARA IMMACULATE,DP,106,88558,0.001196956,0
District Woman Representative,IGANGA,IGANGA,KAUMA SAUDA,NRM,43147,95200,0.453224778,0
District Woman Representative,IGANGA,IGANGA,MARIAM SEIF,INDEPENDENT,31858,95200,0.334642857,0
District Woman Representative,IGANGA,IGANGA,KAKEREWE AZIZA,NUP,12618,95200,0.132542014,0
District Woman Representative,IGANGA,IGANGA,NANTALE MARRIAM,FDC,4761,95200,0.050010506,0
District Woman Representative,IGANGA,IGANGA,TALIKAZA REBECCA,INDEPENDENT,2185,95200,0.022951681,0
District Woman Representative,IGANGA,IGANGA,NASSANGA JACKLINE OBA,INDEPENDENT,631,95200,0.006628151,0
District Woman Representative,ISINGIRO,ISINGIRO,MUGUMYA CLARE,NRM,105244,178649,0.589110494,0
District Woman Representative,ISINGIRO,ISINGIRO,AYEBAZIBWE JASTINE,INDEPENDENT,73405,178649,0.410889506,0
District Woman Representative,JINJA,JINJA,KATALI LOY,NRM,18842,62829,0.299893349,0
District Woman Representative,JINJA,JINJA,TIBYAZE PEACE,INDEPENDENT,18043,62829,0.287176311,0
District Woman Representative,JINJA,JINJA,NAMBI MIRIA,NUP,11730,62829,0.18669723,0
District Woman Representative,JINJA,JINJA,NABIRYE AGNES BAGANZI,INDEPENDENT,7162,62829,0.113991946,0
District Woman Representative,JINJA,JINJA,BYUMA BETTY TUUSE,FDC,3798,62829,0.060449794,0
District Woman Representative,JINJA,JINJA,NAMUSOBYA SARAFINA BETTY,INDEPENDENT,1722,62829,0.027407726,0
District Woman Representative,JINJA,JINJA,TULIRINYA SHARON MARY,DP,1114,62829,0.017730666,0
District Woman Representative,JINJA,JINJA,KAMAALI RACHEAL WABULIRIRE,INDEPENDENT,418,62829,0.006652979,0
District Woman Representative,JINJA CITY,JINJA CITY,KYEBAKUTIKA MANJERI,NUP,26952,68813,0.391670167,0
District Woman Representative,JINJA CITY,JINJA CITY,MUSIKA ANNET,NRM,17477,68813,0.253978163,0
District Woman Representative,JINJA CITY,JINJA CITY,NABUKWASI PETRA ENID,FDC,8709,68813,0.12656039,0
District Woman Representative,JINJA CITY,JINJA CITY,NAIGAGA LILIAN,INDEPENDENT,5959,68813,0.08659701,0
District Woman Representative,JINJA CITY,JINJA CITY,KYEMBA JANET RACHEAL,INDEPENDENT,3302,68813,0.047985118,0
District Woman Representative,JINJA CITY,JINJA CITY,NAMUYOMBA MARY,INDEPENDENT,2658,68813,0.038626421,0
District Woman Representative,JINJA CITY,JINJA CITY,NAMUBIRU HADIJJA,INDEPENDENT,1320,68813,0.019182421,0
District Woman Representative,JINJA CITY,JINJA CITY,MINGAH HAAWA,JEEMA,944,68813,0.013718338,0
District Woman Representative,JINJA CITY,JINJA CITY,MUKAANI AMINAH BALUNYWA,INDEPENDENT,554,68813,0.008050804,0
District Woman Representative,JINJA CITY,JINJA CITY,WEKIYA IRENE FLORENCE PERSIS,INDEPENDENT,414,68813,0.006016305,0
District Woman Representative,JINJA CITY,JINJA CITY,NAISANGA STELLA,ANT,408,68813,0.005929112,0
District Woman Representative,JINJA CITY,JINJA CITY,NDIKUWA BIZUWENA,UPC,116,68813,0.001685728,0
District Woman Representative,KAABONG,KAABONG,NAKWANG CHRISTINE TUBO,NRM,18853,30731,0.61348474,0
District Woman Representative,KAABONG,KAABONG,FARDOSA AHMED,INDEPENDENT,8323,30731,0.270833999,0
District Woman Representative,KAABONG,KAABONG,NAPEYOK OSIRE JESCA RUTH,INDEPENDENT,2803,30731,0.091210827,0
District Woman Representative,KAABONG,KAABONG,LOSIKE ANJELLA LUCKY,NUP,417,30731,0.01356936,0
District Woman Representative,KAABONG,KAABONG,MWAVITA ALISA LOPS,FDC,335,30731,0.010901044,0
District Woman Representative,KABALE,KABALE,ATWAKIIRE CATHELINE NDAMIRA,NRM,45738,89885,0.508850217,0
District Woman Representative,KABALE,KABALE,ATUHEIRE ENID ORIGUMISIRIZA,INDEPENDENT,41632,89885,0.463169605,0
District Woman Representative,KABALE,KABALE,NATUKUNDA SUSAN,FDC,2515,89885,0.027980197,0
District Woman Representative,KABAROLE,KABAROLE,BUSINGE VICTORIA RUSOKE,NRM,45134,62687,0.719989777,0
District Woman Representative,KABAROLE,KABAROLE,KOBUGABE LILIAN,NUP,15439,62687,0.246287107,0
District Woman Representative,KABAROLE,KABAROLE,BIRUNGI ELIZABETH,FDC,2114,62687,0.033723101,0
District Woman Representative,KABERAMAIDO,KABERAMAIDO,AWICH JANE,NRM,14700,33573,0.437851846,0
District Woman Representative,KABERAMAIDO,KABERAMAIDO,AMONGIN JANE FRANCES OKILI,INDEPENDENT,12114,33573,0.360825658,0
District Woman Representative,KABERAMAIDO,KABERAMAIDO,EKWAU IBI FLORENCE,FDC,5633,33573,0.167783633,0
District Woman Representative,KABERAMAIDO,KABERAMAIDO,AMAYO IRYN ANYOBU,NUP,768,33573,0.022875525,0
District Woman Representative,KABERAMAIDO,KABERAMAIDO,NANTALO LEAH,INDEPENDENT,358,33573,0.010663331,0
District Woman Representative,KAGADI,KAGADI,MBABAZI JANEPHER KYOMUHENDO,NRM,65791,110713,0.594248176,0
District Woman Representative,KAGADI,KAGADI,NAZIIWA MARGRET,INDEPENDENT,43546,110713,0.393323272,0
District Woman Representative,KAGADI,KAGADI,NYAKAISIKI PROSCOVIA BAMUTURA,INDEPENDENT,1376,110713,0.012428531,0
District Woman Representative,KAKUMIRO,KAKUMIRO,NABBANJA ROBINAH,NRM,61498,87325,0.704242766,0
District Woman Representative,KAKUMIRO,KAKUMIRO,BAKEINE MABEL LILLIAN KOMUGISHA,INDEPENDENT,20527,87325,0.235064417,0
District Woman Representative,KAKUMIRO,KAKUMIRO,KOHEIRWE ALLEN MUTABAZI,INDEPENDENT,5300,87325,0.060692813,0
District Woman Representative,KALAKI,KALAKI,AYOO JENIFFER NALUKWAGO,NRM,16489,35191,0.468557298,0
District Woman Representative,KALAKI,KALAKI,AJILO MARIA GORETTI ELOGU,INDEPENDENT,15738,35191,0.44721663,0
District Woman Representative,KALAKI,KALAKI,ASAO SUSAN,FDC,2964,35191,0.084226079,0
